"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US11717","ZCTA5 11717","63492","2088"
"8600000US11718","ZCTA5 11718","3075","20"
"8600000US11719","ZCTA5 11719","3447","415"
"8600000US11720","ZCTA5 11720","28454","1316"
"8600000US11721","ZCTA5 11721","6288","416"
"8600000US11722","ZCTA5 11722","31878","1627"
"8600000US11724","ZCTA5 11724","3175","412"
"8600000US11725","ZCTA5 11725","29396","748"
"8600000US11726","ZCTA5 11726","19481","1197"
"8600000US11727","ZCTA5 11727","29736","1595"
"8600000US11729","ZCTA5 11729","27252","1114"
"8600000US11730","ZCTA5 11730","13663","960"
"8600000US11731","ZCTA5 11731","30436","1010"
"8600000US11732","ZCTA5 11732","3751","348"
"8600000US11733","ZCTA5 11733","16363","781"
"8600000US11735","ZCTA5 11735","33893","859"
"8600000US11738","ZCTA5 11738","17972","1063"
"8600000US11739","ZCTA5 11739","916","167"
"8600000US11740","ZCTA5 11740","9693","678"
"8600000US11741","ZCTA5 11741","26651","848"
"8600000US11742","ZCTA5 11742","12438","582"
"8600000US11743","ZCTA5 11743","41878","1156"
"8600000US11746","ZCTA5 11746","67863","1448"
"8600000US11747","ZCTA5 11747","18288","934"
"8600000US11749","ZCTA5 11749","3341","36"
"8600000US11751","ZCTA5 11751","14314","719"
"8600000US11752","ZCTA5 11752","9656","425"
"8600000US11753","ZCTA5 11753","12857","642"
"8600000US11754","ZCTA5 11754","17946","746"
"8600000US11755","ZCTA5 11755","12598","346"
"8600000US11756","ZCTA5 11756","43446","1034"
"8600000US11757","ZCTA5 11757","44368","822"
"8600000US11758","ZCTA5 11758","52783","1204"
"8600000US11762","ZCTA5 11762","22358","364"
"8600000US11763","ZCTA5 11763","28579","1339"
"8600000US11764","ZCTA5 11764","12981","823"
"8600000US11765","ZCTA5 11765","782","152"
"8600000US11766","ZCTA5 11766","11720","859"
"8600000US11767","ZCTA5 11767","14952","888"
